r	z	sc	eng	energy_estimate
4.500000	1.280000	-0.100000	4100.000000	0.946430
6.750000	1.280000	-0.100000	4100.000000	0.982321
10.130000	1.280000	-0.100000	4100.000000	0.980223
15.190000	1.280000	-0.100000	4100.000000	0.992775
2.000000	2.560000	-0.100000	4100.000000	0.966770
3.000000	2.560000	-0.100000	4100.000000	0.964788
4.500000	2.560000	-0.100000	4100.000000	0.969494
6.750000	2.560000	-0.100000	4100.000000	0.984793
10.130000	2.560000	-0.100000	4100.000000	0.991164
15.190000	2.560000	-0.100000	4100.000000	0.991805
4.500000	0.020000	-0.100000	3800.000000	0.926731
6.750000	0.020000	-0.100000	3800.000000	0.963042
