# iter time(ns) max_DgradR max_DgradZ max_vRrho max_vZrho
179 13.689 1.5794008748e-02 2.4292128746e-02 7.3581003853e+00 6.5132573097e+00
180 13.766 1.5662044449e-02 2.4098764175e-02 7.3180555854e+00 6.4647350525e+00
181 13.844 1.5524687603e-02 2.4038076219e-02 7.2784239556e+00 6.4280740206e+00
182 13.921 1.5408818893e-02 2.3846415891e-02 7.2402328091e+00 6.3943448069e+00
183 13.998 1.5310930639e-02 2.3674613666e-02 7.2068481225e+00 6.3520472916e+00
184 14.076 1.5166350244e-02 2.3516527216e-02 7.1592333808e+00 6.3100801118e+00
185 14.153 1.5033664539e-02 2.3382821269e-02 7.1242461532e+00 6.2776750105e+00
186 14.230 1.4972849811e-02 2.3272840124e-02 7.0971400908e+00 6.2412320665e+00
187 14.308 1.4818739873e-02 2.3019993331e-02 7.0567606108e+00 6.2057223115e+00
188 14.385 1.4685686356e-02 2.2903374286e-02 7.0100914264e+00 6.1631850162e+00
189 14.462 1.4651245078e-02 2.2852796403e-02 6.9888849693e+00 6.1322349344e+00
190 14.540 1.4519879020e-02 2.2661540531e-02 6.9554250304e+00 6.1028762875e+00
191 14.617 1.4361741927e-02 2.2409051724e-02 6.8976209641e+00 6.0507315517e+00
192 14.695 1.4335191692e-02 2.2415233869e-02 6.8819223897e+00 6.0249034720e+00
193 14.772 1.4232558294e-02 2.2283349829e-02 6.8550212087e+00 6.0013523464e+00
194 14.849 1.4065595644e-02 2.2066538499e-02 6.7988193672e+00 5.9521494274e+00
195 14.927 1.4025364314e-02 2.1961179953e-02 6.7761368602e+00 5.9191190721e+00
196 15.004 1.3949867409e-02 2.1886857705e-02 6.7555520420e+00 5.9011377366e+00
197 15.081 1.3787884602e-02 2.1720536769e-02 6.7064524089e+00 5.8582480222e+00
198 15.159 1.3721630388e-02 2.1557178124e-02 6.6714470777e+00 5.8148006864e+00
199 15.236 1.3671559746e-02 2.1472856572e-02 6.6567894340e+00 5.8020251557e+00
200 15.313 1.3537140965e-02 2.1354850685e-02 6.6144071243e+00 5.7650849416e+00
201 15.391 1.3423648325e-02 2.1245242150e-02 6.5802337466e+00 5.7238821606e+00
202 15.468 1.3397535519e-02 2.1042567036e-02 6.5583984225e+00 5.7037154172e+00
203 15.545 1.3289247270e-02 2.0970746645e-02 6.5223665431e+00 5.6723791713e+00
204 15.623 1.3158309482e-02 2.0913217376e-02 6.4940929302e+00 5.6365778494e+00
205 15.700 1.3125460656e-02 2.0737836327e-02 6.4599055911e+00 5.6057870306e+00
206 15.777 1.3041928708e-02 2.0569078150e-02 6.4299701754e+00 5.5798096285e+00
207 15.855 1.2902649363e-02 2.0561892224e-02 6.4073240763e+00 5.5491509998e+00
208 15.932 1.2856351928e-02 2.0438580590e-02 6.3707697814e+00 5.5174926509e+00
209 16.009 1.2796251010e-02 2.0255914977e-02 6.3364813931e+00 5.4881213964e+00
210 16.087 1.2663658665e-02 2.0192258799e-02 6.3188348404e+00 5.4619415350e+00
211 16.164 1.2609747505e-02 2.0119604281e-02 6.2883639852e+00 5.4356028137e+00
212 16.241 1.2553270569e-02 1.9979450733e-02 6.2437109243e+00 5.3974547082e+00
213 16.319 1.2443261769e-02 1.9830412130e-02 6.2304421374e+00 5.3752991986e+00
214 16.396 1.2379912768e-02 1.9779601952e-02 6.2060225248e+00 5.3542312357e+00
215 16.473 1.2312608326e-02 1.9681345784e-02 6.1580993027e+00 5.3128855892e+00
216 16.551 1.2225622246e-02 1.9580803325e-02 6.1424215843e+00 5.2893523837e+00
217 16.628 1.2152819136e-02 1.9423012311e-02 6.1237648116e+00 5.2732866930e+00
218 16.705 1.2084675200e-02 1.9364359343e-02 6.0822372764e+00 5.2375265674e+00
219 16.783 1.2009540445e-02 1.9310160133e-02 6.0547707421e+00 5.2040931646e+00
220 16.860 1.1926776515e-02 1.9155199120e-02 6.0416863076e+00 5.1928470548e+00
221 16.937 1.1880000425e-02 1.9026500374e-02 6.0062876547e+00 5.1624218092e+00
222 17.015 1.1794616495e-02 1.9017886000e-02 5.9785084201e+00 5.1284113008e+00
223 17.092 1.1703714797e-02 1.8909701570e-02 5.9597785864e+00 5.1128998449e+00
224 17.169 1.1675932271e-02 1.8759071838e-02 5.9302415832e+00 5.0875600211e+00
225 17.247 1.1584696078e-02 1.8703593258e-02 5.9066742454e+00 5.0573841426e+00
226 17.324 1.1493726166e-02 1.8639831010e-02 5.8780095714e+00 5.0334130919e+00
227 17.401 1.1473780818e-02 1.8528829577e-02 5.8541800188e+00 5.0130075480e+00
228 17.479 1.1401925457e-02 1.8401637261e-02 5.8345074517e+00 4.9863804701e+00
229 17.556 1.1301283625e-02 1.8340080028e-02 5.8057332291e+00 4.9617889818e+00
230 17.633 1.1272196647e-02 1.8272281829e-02 5.7779976057e+00 4.9386707049e+00
231 17.711 1.1220171411e-02 1.8186650239e-02 5.7620195903e+00 4.9154062459e+00
232 17.788 1.1109294908e-02 1.8016008618e-02 5.7387494172e+00 4.8955551586e+00
233 17.865 1.1071275830e-02 1.7985212887e-02 5.7017084676e+00 4.8645570165e+00
234 17.943 1.1038124034e-02 1.7939588436e-02 5.6892308624e+00 4.8444780048e+00
235 18.020 1.0947346354e-02 1.7808435896e-02 5.6713351044e+00 4.8292394589e+00
236 18.097 1.0871107132e-02 1.7675737210e-02 5.6340679179e+00 4.7975058081e+00
237 18.175 1.0855895385e-02 1.7675782333e-02 5.6161563520e+00 4.7736064757e+00
238 18.252 1.0784306752e-02 1.7589704003e-02 5.6034320047e+00 4.7627910669e+00
239 18.329 1.0697667955e-02 1.7470155426e-02 5.5718072384e+00 4.7359107275e+00
240 18.407 1.0673569308e-02 1.7393542435e-02 5.5445191365e+00 4.7035807780e+00
241 18.484 1.0620280626e-02 1.7350015145e-02 5.5350658441e+00 4.6962289252e+00
242 18.561 1.0527066235e-02 1.7259603136e-02 5.5088746584e+00 4.6740070028e+00
243 18.639 1.0492127025e-02 1.7160389919e-02 5.4851079694e+00 4.6448549480e+00
244 18.716 1.0455418388e-02 1.7089755144e-02 5.4662350764e+00 4.6295528379e+00
245 18.794 1.0368166725e-02 1.7029224443e-02 5.4452821484e+00 4.6118070429e+00
246 18.871 1.0334977967e-02 1.6970349631e-02 5.4248646547e+00 4.5856749196e+00
247 18.948 1.0290791502e-02 1.6834855054e-02 5.4000276447e+00 4.5646800264e+00
248 19.026 1.0220259368e-02 1.6778868006e-02 5.3810641132e+00 4.5493385369e+00
249 19.103 1.0179747412e-02 1.6759013056e-02 5.3633885609e+00 4.5257041847e+00
250 19.180 1.0125434342e-02 1.6663255133e-02 5.3434338886e+00 4.5088661460e+00
251 19.258 1.0071967089e-02 1.6539354340e-02 5.3160809343e+00 4.4862461598e+00
252 19.335 1.0023358486e-02 1.6526315350e-02 5.3007899767e+00 4.4630882406e+00
253 19.412 9.9842630970e-03 1.6469593310e-02 5.2857136743e+00 4.4503944971e+00
254 19.490 9.9223334645e-03 1.6372670488e-02 5.2540987522e+00 4.4237757879e+00
255 19.567 9.8667857866e-03 1.6273261050e-02 5.2371071020e+00 4.4009821514e+00
256 19.644 9.8428696763e-03 1.6251944605e-02 5.2268652222e+00 4.3910642828e+00
257 19.722 9.7726396051e-03 1.6177123214e-02 5.2004493799e+00 4.3688724610e+00
258 19.799 9.7092468999e-03 1.6110481634e-02 5.1731037445e+00 4.3391011972e+00
259 19.876 9.7007800805e-03 1.6011423262e-02 5.1672356616e+00 4.3313747166e+00
260 19.954 9.6458567386e-03 1.5960278989e-02 5.1457834941e+00 4.3133926887e+00
261 20.031 9.5682116204e-03 1.5930151559e-02 5.1215241769e+00 4.2832620222e+00
262 20.108 9.5571499594e-03 1.5832206315e-02 5.1067776357e+00 4.2712862988e+00
263 20.186 9.5179138001e-03 1.5733255382e-02 5.0901918816e+00 4.2574140472e+00
264 20.263 9.4351631388e-03 1.5728402936e-02 5.0688033868e+00 4.2308167661e+00
265 20.340 9.4113713183e-03 1.5664114855e-02 5.0491986951e+00 4.2135213442e+00
266 20.418 9.3872208746e-03 1.5562261622e-02 5.0336811257e+00 4.2009447468e+00
267 20.495 9.3201131520e-03 1.5507421807e-02 5.0150289274e+00 4.1785760764e+00
268 20.572 9.2676590978e-03 1.5479608951e-02 5.0001475274e+00 4.1634966769e+00
269 20.650 9.2514390873e-03 1.5399567867e-02 4.9761991429e+00 4.1439438036e+00
270 20.727 9.1985558195e-03 1.5329917525e-02 4.9602129811e+00 4.1256453496e+00
271 20.804 9.1386382245e-03 1.5272198934e-02 4.9498867722e+00 4.1127149003e+00
272 20.882 9.1116380924e-03 1.5216608979e-02 4.9252544501e+00 4.0922486305e+00
273 20.959 9.0734163604e-03 1.5181715088e-02 4.9043109519e+00 4.0721757694e+00
274 21.036 9.0096730335e-03 1.5085641121e-02 4.8984483583e+00 4.0612051990e+00
275 21.114 8.9842344922e-03 1.5021715139e-02 4.8785022130e+00 4.0446682504e+00
276 21.191 8.9490423231e-03 1.5010051530e-02 4.8528557664e+00 4.0181433063e+00
277 21.268 8.8873995083e-03 1.4948534250e-02 4.8459091255e+00 4.0090364651e+00
278 21.346 8.8697676988e-03 1.4847252131e-02 4.8305625757e+00 3.9963402143e+00
279 21.423 8.8239899427e-03 1.4818368471e-02 4.8074468008e+00 3.9724641391e+00
280 21.500 8.7757099574e-03 1.4788004745e-02 4.7923046294e+00 3.9562397227e+00
281 21.578 8.7519876999e-03 1.4709532499e-02 4.7813797993e+00 3.9472208372e+00
282 21.655 8.7158408318e-03 1.4645244103e-02 4.7607011430e+00 3.9272862492e+00
283 21.732 8.6628185657e-03 1.4610465602e-02 4.7474451666e+00 3.9104196616e+00
284 21.810 8.6321148124e-03 1.4555372856e-02 4.7309538986e+00 3.8973140726e+00
285 21.887 8.6088544539e-03 1.4516690711e-02 4.7126454304e+00 3.8811742947e+00
286 21.964 8.5499323436e-03 1.4429441893e-02 4.7037071266e+00 3.8662090508e+00
287 22.042 8.5103659060e-03 1.4388868106e-02 4.6820093051e+00 3.8483745403e+00
